State Name,Market Name,Group,Variety,Grade,Min Price,Max Price,Modal Price,Price Date
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,250,338,313,04-Mar-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,275,350,325,05-Mar-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,130,150,140,06-Mar-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,300,375,350,07-Mar-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,300,400,375,08-Mar-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,350,425,400,09-Mar-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,325,400,375,10-Mar-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,375,450,425,11-Mar-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,375,475,425,12-Mar-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,400,475,438,13-Mar-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,400,475,438,14-Mar-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,400,475,438,15-Mar-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,400,475,450,16-Mar-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,375,475,425,17-Mar-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,400,450,425,18-Mar-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,400,475,438,19-Mar-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,375,450,425,20-Mar-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,375,425,400,21-Mar-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,400,450,425,22-Mar-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,375,450,413,23-Mar-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,375,450,425,24-Mar-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,400,450,425,25-Mar-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,400,450,425,26-Mar-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,375,450,425,27-Mar-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,375,450,413,28-Mar-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,375,450,413,29-Mar-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,400,450,425,30-Mar-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,400,450,425,31-Mar-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,375,450,425,02-Apr-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,250,450,350,02-Apr-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,400,450,425,03-Apr-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,300,400,350,03-Apr-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,375,425,400,04-Apr-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,350,550,450,04-Apr-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,375,450,413,05-Apr-03
NCT of Delhi,Keshopur,Vegetables,Onion,FAQ,400,475,450,06-Apr-03
NCT of Delhi,Shahdara,Vegetables,Other,FAQ,360,460,400,06-Apr-03
