State Name,Market Name,Group,Variety,Grade,Min Price,Max Price,Modal Price,Price Date
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,360,640,490,01-Jan-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,360,640,460,03-Jan-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,340,560,425,04-Jan-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,340,560,430,05-Jan-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,340,560,430,06-Jan-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,340,560,430,07-Jan-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,340,560,430,08-Jan-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,340,560,433,10-Jan-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,340,560,420,11-Jan-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,340,600,428,12-Jan-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,340,600,425,13-Jan-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,340,600,430,14-Jan-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,340,600,428,15-Jan-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,320,560,415,17-Jan-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,320,500,400,18-Jan-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,320,500,395,19-Jan-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,320,520,405,20-Jan-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,280,520,385,21-Jan-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,280,520,385,22-Jan-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,280,520,385,24-Jan-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,280,520,395,25-Jan-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,280,520,395,27-Jan-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,280,520,385,28-Jan-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,280,520,385,29-Jan-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,240,500,380,31-Jan-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,240,500,375,01-Feb-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,280,520,365,02-Feb-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,240,480,360,03-Feb-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,280,500,373,04-Feb-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,280,540,380,05-Feb-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,280,540,380,07-Feb-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,280,540,380,08-Feb-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,280,520,375,09-Feb-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,280,520,375,10-Feb-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,280,520,375,11-Feb-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,280,520,375,12-Feb-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,280,520,375,14-Feb-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,280,560,395,15-Feb-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,320,680,460,16-Feb-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,120,560,395,17-Feb-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,280,560,395,18-Feb-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,280,560,395,19-Feb-11
NCT of Delhi,Azadpur,Vegetables,Other,FAQ,280,560,400,21-Feb-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,320,640,450,22-Feb-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,320,640,450,23-Feb-11
NCT of Delhi,Azadpur,Vegetables,Potato,FAQ,320,640,450,24-Feb-11
