Rate,Qty,Unit,amount,ID,name,Delivery Date,OutletId,hindiName,,,
75,3,Kg,225,57bd615f1df6a92ac18f1793,Baby Corn,1482863400000,579c92b8a46e065371f88e1a,बेबी कॉर्न,,,
15,1,Pc,15,57bd615f1df6a92ac18f179c,Banana Leaves,1482863400000,579c92b8a46e065371f88e1a,केले के पत्ते,,,
30,0.5,Kg,15,57bd615f1df6a92ac18f17a8,Beans,1482863400000,579c92b8a46e065371f88e1a,हरी फली,,,
55,0.5,Kg,27.5,57bd615f1df6a92ac18f17a5,Bean Sprouts,1482863400000,579c92b8a46e065371f88e1a,अंकुरित फलियां,,,1482345000000
25,0.3,Kg,7.5,57bd615f1df6a92ac18f17ab,Beetroot,1482863400000,579c92b8a46eq065371f88e1a,चुकंदर,,,
85,0.5,Kg,42.5,57bd615f1df6a92ac18f17ba,Bok Choy,1482863400000,579c92b8a46e065371f88e1a,बॉक चोई,,,
90,2,Kg,180,57bd615f1df6a92ac18f17cf,Broccoli,1482863400000,579c92b8a46e065371f88e1a,ब्रोकोली,,,
18,20,Kg,360,57bd615f1df6a92ac18f17d5,Cabbage,1482863400000,579c92b8a46e065371f88e1a,बंदगोभी,,,
30,5,Kg,150,57bd615f1df6a92ac18f17db,Capsicum,1482863400000,579c92b8a46e065371f88e1a,शिमला मिर्च,,,
85,0.75,Kg,63.75,57bd615f1df6a92ac18f1928,Red Capsicum,1482863400000,579c92b8a46e065371f88e1a,लाल शिमला मिर्च,,,
85,0.75,Kg,63.75,57bd615f1df6a92ac18f198e,Yellow Capsicum,1482863400000,579c92b8a46e065371f88e1a,पीली शिमला मिर्च,,,
25,0.5,Kg,12.5,57bd615f1df6a92ac18f17ea,Cauliflower,1482863400000,579c92b8a46e065371f88e1a,फूलगोभी,,,
115.5,0.05,Kg,5.78,57bd615f1df6a92ac18f17f3,Cherry Tomato,1482863400000,579c92b8a46e065371f88e1a,चेरी टमाटर,,,
30,1,Kg,30,57bd615f1df6a92ac18f1811,Coriander,1482863400000,579c92b8a46e065371f88e1a,धनिया,,,
72,1,Kg,72,57bd615f1df6a92ac18f184a,Ginger,1482863400000,579c92b8a46e065371f88e1a,अदरक,,,
28,0.2,Kg,5.6,57bd615f1df6a92ac18f1862,Green Chilli Small,1482863400000,579c92b8a46e065371f88e1a,हरी मिर्च छोटी,,,
20,3,Kg,60,57bd615f1df6a92ac18f1877,Hybrid Tomato,1482863400000,579c92b8a46e065371f88e1a,हाइब्रिड टमाटर,,,
400,0.1,Kg,40,57bd615f1df6a92ac18f18b3,Lemon Leaves,1482863400000,579c92b8a46e065371f88e1a,नींबू के पत्ते,,,
