Jan,Nov
Ardor 2.1,Gulati
Hauz Khas Social,Punjab Grill
Gulati,Berco's
Indian Grill Room,Desi Vibes
Berco's,Punjab Grill
Indus Flavour,Ardor 2.1
Burger King,Mahabelly
Odeon Social,Molecule Air Bar
Punjab Grill,Indus Flavour
Farzi Cafe,Diggin
Dhaba By Claridges,Saravana Bhavan
Desi Vibes,Dhaba By Claridges
Sbarro,The Hudson Cafe
Aam Aadmi Pakwaan,Odeon Social
Prankster,Biryani Blues
Tourist Janpath,Punjab Grill
Dhaba By Claridges,Zu Tisch
Saravana Bhavan,Bun Intended
Diggin,Indian Grill Room
Zu Tisch,Kebab Gali
Zizo,Lodi - The Garden Restaurant
Mahabelly,The Burger Club
Lodi - The Garden Restaurant,Factory By Sutra
Garam Dharam,SodaBottleOpenerWala
The Hudson Cafe,Jungle Jamboree
Phonebooth Café,Naivedyam
Desi Vibes,Phonebooth Café
Walk In The Woods,Dhaba By Claridges
Gastronomica Kitchen & Bar,Aam Aadmi Pakwaan
Molecule Air Bar,Jungle Jamboree
Kebab Gali,Drool Kitchen
Warehouse Cafe,21 Gun Salute
Pind Balluchi,Sbarro
Punjab Grill,FRSH.com
Cyber Hub Social,Tossin Pizza
Drool Kitchen,Gulati Spice Market
Factory By Sutra,Walk In The Woods
Biryani Blues,Garam Dharam
Jungle Jamboree,Desi Vibes
Rang De Basanti Urban Dhaba,Nando's
Burbee's Cafe,Burbee's Cafe
The Flying Saucer Cafe,Mr. Crust Bakers
SodaBottleOpenerWala,QD's Restaurant
Jamie's Pizzeria by Jamie Oliver,Little Chef
Sweet Obsession,Prankster
Lights Camera Action - Air Bar,Hauz Khas Social
Punjab Grill,Gastronomica Kitchen & Bar
Warehouse Cafe,Chili's Grill & Bar
Tamasha,Zizo
Khaaja Chowk,The Joint Cafe
Big Red Box,QD's Restaurant
Nando's,The Colony Bistro
Soi 7 Pub & Brewery,Cafe Dalal Street
Fatburger,Rang De Basanti Urban Dhaba
Roots - Cafe In The Park,The Flashback
Hungry - I,Amici Cafe
Caffe Tonino,Sushiya
Unplugged Courtyard,Big Red Box
The Colony Bistro,Baking Bad
Over The Top,Whipped
Lord of the Drinks,Smoke House Deli
Cafe Dalal Street,Johnny Rockets
My Bar Headquarters,Mamagoto
QD's Restaurant,Rustom's Parsi Bhonu
Pinch of Spice,Caffe Tonino
Kent's Fast Food,Bikanervala
Chili's Grill & Bar,My Bar Headquarters
Sense Of Spirits,Pind Balluchi
Gola Sizzlers,Bikkgane Biryani by Biryani Paradise
The Midnight Heroes,Lord of the Drinks
Amici Cafe,ECHOES - Eat Engage Energize
Monkey Bar,Farzi Cafe
Tpot,Pinch of Spice
Cafeteria & Co.,Asian Haus
The Vintage Avenue,Cyber Hub Social
Natural Ice Cream,Captain Grub
The Flashback,The Flying Saucer Cafe
Spezia Bistro,Monkey Bar
Domino's Pizza,Speedy Chow
Wok In The Clouds,London Grill Co.
Burger Singh,Khaaja Chowk
Bikanervala,The Potbelly Rooftop Cafe
Rustom's Parsi Bhonu,Gola Sizzlers
Peninsular Kitchen,FLYP@MTV
Amici Cafe,Big Wong
Karim's,Oh! Calcutta
Impromptu,Sweet Obsession
Jungle Jamboree,Def Col Social
The Burger Club,Angels in my Kitchen
Carl's Jr.,Naturals Ice Cream
The Chatter House,Carl's Jr.
Khan Chacha,Fatburger
Johnny Rockets,Warehouse Cafe
Wok In The Clouds,Unplugged Courtyard
ECHOES - Eat Engage Energize,Over The Top
38 Barracks,Kebab Gali
QD's Restaurant,Rajdhani Thali Restaurant
FLYP@MTV,Roots - Cafe In The Park
The Junkyard Cafe,Salad Days
The Potbelly Rooftop Cafe,Nite Bites
Al Bake,Taco Bell
Filmy Cafe and Bar,Singh Ching
Zambar,Kent's Fast Food
Kennedy's,Tourist Janpath
Tossin Pizza,Sita Ram Diwan Chand
Chew - Pan Asian Cafe,Khan Chacha
Di Ghent Cafe,Wok In The Clouds
Bikkgane Biryani,Chili's Grill & Bar
The Joint Cafe,Chalte Firte Momos & Special Foods
TGI Friday's,Royal China
Saravana Bhavan,Haristo Cafe & Pizzeria
Def Col Social,Veg Gulati
Barbeque Nation,Wood Box Cafe
Kinbuck 2,Superstar Café
Whipped,Food Scouts
Sita Ram Diwan Chand,Soi 7 Pub & Brewery
Dana Choga,Di Ghent Cafe
Wow! Momo,Wok In The Clouds
Circus,The University Bistro
FRSH.com,Moets Shack
Johnny Rockets,Metro Dhaba
Barcelos,Chili's Grill & Bar
Walking Street By Soi7,Cafeteria & Co.
Little Chef,TGI Friday's
The University Bistro,Zambar
Chili's Grill & Bar,Smoke House Deli
Cha Bar,Getafix
Khaaja Chowk,Culinaire
Café Wanderlust,Lights Camera Action - Air Bar
Chili's Grill & Bar,Om Sweets & Snacks
Billu's Hut,Kebab Gali
Fresc Co,Barbeque Nation
Smoke House Deli,Burger King
Captain Grub,Pirates of Grill
Coast Cafe,Saravana Bhavan
Veda,Impromptu
Mamagoto,Filmy Flavours
Naivedyam,Chew - Pan Asian Cafe
Oh! Calcutta,Wood Box Cafe
Route 04,Khaaja Chowk
Rajdhani Thali Restaurant,Pita Pit
Lotus Leaf,Johnny Rockets
Jamie's Pizzeria By Jamie Oliver,TGI Friday's
Hard Rock Cafe,Munch Nation
Angels in my Kitchen,Veda
Munch Nation,Tamasha
1 Oak Cafe & Bar,Mumbai Matinee
Wood Box Cafe,Chai Point
Niice Cream,Barcelos
Al Bake,Burger Singh
Bats On Delivery,Punjabi By Nature Quickie
Wood Box Cafe,Biryani Art
Haristo Cafe & Pizzeria,Sasuraal
"Elma's Bakery, Bar, and Kitchen",Café Wanderlust
Dunkin' Donuts,Cha Bar
Chai Point,Lavaash By Saby
21 Gun Salute,Fork You
Caffe 9,Fresc Co
TGI Friday's,Sagar Ratna
Chalte Firte Momos & Special Foods,2 Bros Kitchen
The Spice Lab,Circus
Café MRP,Chili's Grill & Bar
Farzi Cafe,SET'Z
Smoke House Deli,Delivery Jack
Binge,Brown Sugar
Smokey's BBQ and Grill,L'Adresse Kitchen & Bar
Ambrosia Bliss,Karim's
The Vault Cafe,Dunkin' Donuts
Summer House Cafe,Batli 29
Garage Inc.,QD's Restaurant
Matchbox,1 Oak Cafe & Bar
Mr. Crust Bakers,Imly
Pirates of Grill,Binge
Blues,Al Bake
Smoke House Deli,The Good Food Cafe
Pebble Street,"Elma's Bakery, Bar, and Kitchen"
Nehru Place Social,The Midnight Heroes
Ricos,Café MRP
Pebble Street,The Backyard
Dana Choga,Pirates of Grill
Parikrama - The Revolving Restaurant,RoadRomeo
The Backyard,HotMess
Chili's Grill & Bar,Kinbuck 2
Haldiram's,Coast Cafe
Big Wong,The Vintage Avenue
Cafe Lota,Al Bake
Jamie's Italian,Aanch
Office Canteen Bar,The Vault Cafe
TGI Friday's,Lub Lub Lebanese
Lord of the Drinks Meadow,Eggers Madhouse
Global Food Factory,Fat Lulu's Cafe & Bar
Cafe Hawkers,Walking Street By Soi7
Wenger's,The Munchbox
Culinaire,Route 04
Punjabi By Nature Quickie,The Spice Lab
Starbucks,Zaffran
Aanch,Ambrosia Bliss
Yeti - The Himalayan Kitchen,Caffe 9
Kathputli,Tpot
City Socialite,The Chatter House
Superstar Café,Bats On Delivery
Johnny Rockets,Chi Asian Cookhouse
Zaffran,The Bombaykery
The All American Diner,Kaffiiaa
Out Of The Box,Domino's Pizza
KFC,Magadh and Awadh
Kaffiiaa,Smoke House Deli
Singh Ching,Subway
Momo's Point,TGI Friday's
RoadRomeo,Time Out
Yum Yum Cha,Mainland China
Teddy Boy,Pho King Awesome
Masha,Thaichi Street
Sagar Ratna,Smoked Biryani House
Asian Haus,Smoke House Deli
Smoked Biryani House,Farzi Cafe
California Pizza Kitchen,Nutritious Nation
